Key,Context,English
tabBody3,,"[ede100]7.[-][c26700] Crafting[-] - Crafting workstations, and tools like the crucible, and vehicles themselves, take fewer magazines to read before they unlock.\n\n[ede100]8.[-][c26700] Cheating[-] - Trying to leave the tower other than by gyrocopter is a very bad idea...\n\n[ede100]9.[-][c26700] Customization[-] - Certain in-game functions, like zombie health bars and XP pop-ups, can be enabled or disabled from the pause menu. Pause the game, click 'video' then the 'Customization' tab.\n\n[ede100]10.[-][c26700] Special Thanks[-] - Thanks to w00kien00kie for the custom code, Khelldon for the custom menu, Frantic_Dan for ideas & xpath help, Zilox, Midnight Designer, SphereII, and Pitchsilent for the original base mod and concept.\n\n[ede100]11.[-][c26700] Horde Night[-] - Horde nights CAN be disabled from the main menu if you wish, or, if you'd rather have more choice, the 'Avoid Bloodmoon' injection can be crafted.\n\n[ede100]12.[-][c26700] Tower Resources[-] - There are many changes from vanilla for resource gathering. Clay soil, for example, can be found by harvesting potted plants, farm plots, and destroyed stone.\n\n[ede100]13.[-][c26700] Locked Slots[-] - You can lock slots in your inventory by hovering over a slot and pressing 'X'. The slot will have a green background, indicating it is locked.\n\n[ede100]14.[-][c26700] Wrench[-] - Keep it repaired. Look after your wrench, and your wrench will look after you."

esc_headerTitleHC,UI,"Dishong Tower Challenge"
esc_headerMottoHC,UI,"Brought to you by HellsJanitor"
esc_footer_discord_labelHC,UI,"HellsJanitor Discord"

tabButtonTitle1,,"Rules"
tabTitle1HC,,"Welcome to the Dishong Tower Challenge"
tabBody1HC,,"Fight your way up the top of the tower, looting and crafting everything you need to craft a gyrocopter to make your escape from the top. Failure is not an option. You have [a8a8a8]ONE[-] life. Make it count.\n\n[a8a8a8]1:[-] All [a8a8a8]DEFAULT[-] player blockdamage, zombie block damage, XP gain etc. Loot percentage should be [a8a8a8]no higher[-] than [a8a8a8]100%[-].\n\n[a8a8a8]2:[-] You may set loot percentage [a8a8a8]LOWER[-] than [a8a8a8]100%[-], you may set enemy block damage [a8a8a8]HIGHER[-] than [a8a8a8]100%[-], player block damage [a8a8a8]LOWER[-] than [a8a8a8]100%[-].  You may set your loot respawn time, bloodmoon interval, difficulty, run speeds and such to whatever you please.\n\n[a8a8a8]3:[-] You [a8a8a8]must[-] enter the Dishong Tower [a8a8a8]immediately[-] (being on the front porch counts as being in) and [a8a8a8]cannot leave[-] thereafter.\n\n[a8a8a8]4:[-] The rubble on the ground around the tower is [a8a8a8]NOT[-] part of the tower, and as such may [a8a8a8]NOT[-] be used to support any structures, or to grow any crops, unless you can do this [a8a8a8]WITHOUT[-] touching it.\n\n[a8a8a8]5:[-] You may build bridges off the side of the building to reach things, but those bridges [a8a8a8]must support themselves and cannot touch the ground.[-]\n\n[a8a8a8]6:[-] You may [a8a8a8]not[-] mine or dig under the building.\n\n[a8a8a8]7:[-] If you die, the [a8a8a8]GAME IS OVER[-].\n\n[a8a8a8]8:[-] You must survive until you are able to build a gyrocopter and fly to the safety of the trader compound.\n\n\n"
tabButtonTitle2HC,,"Tips 1"
tabTitle2HC,,"Tips 1"
tabBody2HC,,"[a8a8a8]1. Seeds[-] - All seed crafting is unlocked by default, and some seeds only require a couple of food items to make. There are SOME usuable farmplots in the tower...\n\n[a8a8a8]2. Zombie Loot[-] - Almost every zombie will drop a loot bag once dead, and specific zombies will have a chance to drop specific loot.\n\n[a8a8a8]3. Skill Magazines[-] - Skill magazines can be found in their usual places, and certain zombies have a chance to give certain magazines in their loot bag.\n\n[a8a8a8]4. Looting[-] - Loot respawn is integral to completing this challenge. Loot will automatically restock after a certain period of time, determined by the 'Loot Respawn' number you set before starting the game.\n\n[a8a8a8]5. Zombie Respawns[-] - Zombies can now be set to respawn after a time you decide. Check the 'Dishong' tab on the main menu, and set the number of days you want between zombies respawning in the tower.\n\n[a8a8a8]6. Resources[-] - Resources are scarce in the tower, but you will be able to find or craft everything you need to complete the challenge. Some resources, like old cash, can be used in recipes - so make sure you check the recipes for EVERYTHING. Also, some of the rarer resources, like acid, can now be crafted. It can also be looted from zombies - along with antibiotics and beakers."
tabButtonTitle3HC,,"Tips 2"
tabTitle3HC,,"Tips 2"
tabBody3HC,,"[a8a8a8]7. Crafting[-] - Crafting workstations, and tools like the crucible, and vehicles themselves, take fewer magazines to read before they unlock.\n\n[a8a8a8]8. Cheating[-] - Trying to leave the tower other than by gyrocopter is a very bad idea...\n\n[a8a8a8]9. Customization[-] - Certain in-game functions, like zombie health bars and XP pop-ups, can be enabled or disabled from the pause menu. Pause the game, click 'video' then the 'Customization' tab.\n\n[a8a8a8]10. Special Thanks[-] - Thanks to w00kien00kie for the custom code, Khelldon for the custom menu, Frantic_Dan for ideas & xpath help, Zilox, Midnight Designer, SphereII, and Pitchsilent for the original base mod and concept.\n\n[a8a8a8]11. Horde Night[-] - Horde nights CAN be disabled from the main menu if you wish, or, if you'd rather have more choice, the 'Avoid Bloodmoon' injection can be crafted.\n\n[a8a8a8]12. Tower Resources[-] - There are many changes from vanilla for resource gathering. Clay soil, for example, can be found by harvesting potted plants, farm plots, and destroyed stone.\n\n[a8a8a8]13. Locked Slots[-] - You can lock slots in your inventory by hovering over a slot and pressing 'X'. The slot will have a green background, indicating it is locked.\n\n[a8a8a8]14. Wrench[-] - Keep it repaired. Look after your wrench, and your wrench will look after you."



